Country,Region,City,Page views,Site sessions,Unique visitors
US,GA,Jonesboro,13,5,4
US,ID,Lewiston,5,5,4
US,IN,Evansville,19,4,4
US,IN,Columbus,10,4,4
US,IN,Carmel,6,4,4
US,KS,Overland Park,7,4,4
US,KS,Kansas City,26,6,4
US,KY,Vine Grove,12,5,4
US,MA,Medford,8,4,4
US,MA,Malden,6,5,4
US,MD,Gaithersburg,9,6,4
US,MI,Roseville,25,13,4
US,MI,Grand Rapids,10,5,4
US,NC,Garner,14,5,4
US,NC,Fayetteville,12,4,4
US,NC,Durham,30,7,4
US,NC,Clayton,5,5,4
US,NJ,Union City,20,5,4
US,NJ,Trenton,10,4,4
US,NJ,Piscataway,15,4,4
US,NY,Syracuse,8,4,4
US,NY,Staten Island,7,4,4
US,NY,Schenectady,6,5,4
US,PA,York,10,5,4
US,PA,Erie,11,4,4
US,TN,La Vergne,4,4,4
US,VA,Virginia Beach,18,5,4
US,VA,Sterling,10,5,4
US,VA,Reston,6,4,4
US,VA,Fairfax,12,5,4
US,WA,Tacoma,11,4,4
US,WA,Kent,11,4,4
US,WA,Bothell,5,4,4
US,WA,Bellingham,10,4,4
US,AL,Montgomery,6,3,3
US,AL,Gadsden,12,3,3
US,AL,Bessemer,6,3,3
US,AZ,Chandler,7,3,3
US,CA,Westminster,6,3,3
US,CA,Victorville,15,3,3
US,CA,Union City,29,3,3
US,CA,Turlock,25,8,3
US,CA,Tracy,15,3,3
US,CA,Thousand Oaks,13,3,3
US,CA,Temple City,11,4,3
US,CA,Soledad,45,14,3
US,CA,San Leandro,13,3,3
US,CA,Roseville,11,3,3
US,CA,Rancho Cucamonga,7,3,3
US,CA,Rancho Cordova,19,3,3
US,CA,Panorama City,11,3,3
US,CA,Palos Verdes Estates,7,4,3
US,CA,Palo Alto,3,3,3
US,CA,Oxnard,15,5,3
US,CA,Manteca,3,3,3
US,CA,Ladera Ranch,17,7,3
US,CA,Indio,3,3,3
US,CA,Escondido,3,3,3
US,CA,Encinitas,14,3,3
US,CA,El Cajon,3,3,3
US,CA,Eastvale,10,4,3
US,CA,Dublin,5,3,3
US,CA,Carlsbad,3,3,3
US,CA,Burbank,4,4,3
US,CA,Brea,6,3,3
US,CA,Antioch,10,3,3
US,CO,Thornton,6,4,3
US,CO,Highlands Ranch,16,3,3
US,CO,Colorado Springs,13,3,3
US,CT,Bristol,5,4,3
US,DE,Wilmington,5,3,3
US,DE,Dover,10,5,3
US,FL,West Palm Beach,6,3,3
US,FL,Spring Hill,4,3,3
US,FL,Sanford,7,3,3
US,FL,Riverview,11,3,3
US,FL,Fort Walton Beach,4,3,3
US,FL,Fort Lauderdale,4,3,3
US,FL,Clearwater,7,3,3
